genre,tag,genre number,name,seg,nopunc,focal,compare,stopwords,delimiters,max_cost,120,10,5,2,1,sentence
G10,Classics,05,chuci,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,745,145,72,29,13,353
G10,Classics,05,chuci,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,7,4,3,0,0,3
G10,Classics,05,chuci,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,252,46,28,15,11,94
G10,Classics,05,chuci,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,39,5,2,0,0,20
G10,Classics,06,yili,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,06,yili,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,28,3,2,2,2,17
G10,Classics,06,yili,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,06,yili,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,06,yili,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,202,57,31,21,10,123
G10,Classics,06,yili,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,31,11,5,3,2,26
G10,Classics,06,yili,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,56,14,9,4,4,38
G10,Classics,06,yili,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,24,3,0,0,0,6
G10,Classics,06,yili,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,06,yili,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,06,yili,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,21,0,0,0,0,0
G10,Classics,07,shanhaijing,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,25,2,1,1,0,9
G10,Classics,07,shanhaijing,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,25,2,1,1,0,13
G10,Classics,07,shanhaijing,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,520,269,182,99,56,273
G10,Classics,07,shanhaijing,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,68,19,12,7,2,39
G10,Classics,07,shanhaijing,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,975,371,208,104,60,537
G10,Classics,07,shanhaijing,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,89,40,22,10,4,44
G10,Classics,07,shanhaijing,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,276,53,24,9,3,164
G10,Classics,07,shanhaijing,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,108,15,9,5,1,43
G10,Classics,07,shanhaijing,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,10,0,0,0,0,3
G10,Classics,07,shanhaijing,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,156,11,4,1,0,39
G10,Classics,07,shanhaijing,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,95,10,5,1,1,36
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,274,26,9,2,0,150
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,131,7,3,1,1,78
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,766,182,115,65,42,353
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,1515,550,288,136,77,617
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,1129,200,107,56,38,619
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,473,165,89,41,22,272
